Progressive Communication Training Log
==================================================
Expansion every 10000 cycles
Add 2 symbols and 1 sequence length per expansion
Size Accuracy: Now using distance-based metric (1.0 = perfect, decreases with distance)
==================================================

Cycle 1: Loss=13.4737, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.087, Content_Acc1=0.333, Size_Acc2=0.036, Content_Acc2=0.000, SizeErr1=10.5, SizeErr2=26.5
Cycle 36: Loss=1.4833, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.191, Size_Acc2=0.552, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 37: Loss=1.4733, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.632, Content_Acc1=0.180, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 38: Loss=1.3890, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.632, Content_Acc1=0.168, Size_Acc2=0.552, Content_Acc2=0.029, SizeErr1=0.0, SizeErr2=4.0
Cycle 39: Loss=2.3578, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.158, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=2.0
Cycle 40: Loss=1.1003, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.144, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=0.0, SizeErr2=2.0
Cycle 41: Loss=2.0439, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.135, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=0.0
Cycle 42: Loss=1.1454, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.123, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=0.0, SizeErr2=2.0
Cycle 43: Loss=1.4767, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.113, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 44: Loss=1.8294, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.102, Size_Acc2=0.536, Content_Acc2=0.031, SizeErr1=4.0, SizeErr2=4.0
Cycle 45: Loss=1.4886, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.088, Size_Acc2=0.536, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 46: Loss=1.4755, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.077, Size_Acc2=0.520, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=2.0
Cycle 47: Loss=1.3310, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.065, Size_Acc2=0.536, Content_Acc2=0.027, SizeErr1=0.0, SizeErr2=2.0
Cycle 48: Loss=1.4520, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.053, Size_Acc2=0.552, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 49: Loss=1.4637, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.041, Size_Acc2=0.568, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 50: Loss=1.4594, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.029, Size_Acc2=0.584, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 51: Loss=1.5373, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.616, Content_Acc1=0.027, Size_Acc2=0.584, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 52: Loss=1.5170, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.027, Size_Acc2=0.584, Content_Acc2=0.024, SizeErr1=4.0, SizeErr2=2.0
Cycle 53: Loss=1.4820, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.027, Size_Acc2=0.584, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 54: Loss=1.4589, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.029, Size_Acc2=0.584, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 55: Loss=1.4036, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.031, Size_Acc2=0.600, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=0.0
Cycle 56: Loss=1.4786, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.033, Size_Acc2=0.600, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 57: Loss=1.4285, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.600, Content_Acc1=0.031, Size_Acc2=0.600, Content_Acc2=0.022, SizeErr1=2.0, SizeErr2=2.0
Cycle 58: Loss=1.6449, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.031, Size_Acc2=0.584, Content_Acc2=0.024, SizeErr1=4.0, SizeErr2=4.0
Cycle 59: Loss=1.4024, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.584, Content_Acc1=0.031, Size_Acc2=0.600, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 60: Loss=1.4145, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.568, Content_Acc1=0.031, Size_Acc2=0.584, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 61: Loss=1.4662, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.568, Content_Acc1=0.029, Size_Acc2=0.568, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=4.0
Cycle 62: Loss=1.4359, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.568, Content_Acc1=0.027, Size_Acc2=0.568, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 63: Loss=1.4173, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.027, Size_Acc2=0.584, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 64: Loss=1.4293, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.568, Content_Acc1=0.024, Size_Acc2=0.568, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=4.0
Cycle 65: Loss=1.4542, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.024, Size_Acc2=0.552, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=4.0
Cycle 66: Loss=1.4531, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.568, Content_Acc1=0.022, Size_Acc2=0.536, Content_Acc2=0.033, SizeErr1=2.0, SizeErr2=2.0
Cycle 67: Loss=1.5858, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.024, Size_Acc2=0.536, Content_Acc2=0.036, SizeErr1=4.0, SizeErr2=2.0
Cycle 68: Loss=1.3077, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.024, Size_Acc2=0.552, Content_Acc2=0.036, SizeErr1=2.0, SizeErr2=0.0
Cycle 69: Loss=1.4404, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.024, Size_Acc2=0.568, Content_Acc2=0.033, SizeErr1=2.0, SizeErr2=2.0
Cycle 70: Loss=1.4435, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.027, Size_Acc2=0.568, Content_Acc2=0.033, SizeErr1=2.0, SizeErr2=2.0
Cycle 71: Loss=1.7625, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.027, Size_Acc2=0.552, Content_Acc2=0.036, SizeErr1=4.0, SizeErr2=4.0
Cycle 72: Loss=1.4255, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.552, Content_Acc2=0.038, SizeErr1=2.0, SizeErr2=2.0
Cycle 73: Loss=1.4002, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.552, Content_Acc2=0.038, SizeErr1=2.0, SizeErr2=2.0
Cycle 74: Loss=1.4334, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.552, Content_Acc2=0.038, SizeErr1=2.0, SizeErr2=2.0
Cycle 75: Loss=1.4642, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.552, Content_Acc2=0.038, SizeErr1=2.0, SizeErr2=2.0
Cycle 76: Loss=1.4674, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.033, Size_Acc2=0.552, Content_Acc2=0.040, SizeErr1=2.0, SizeErr2=2.0
Cycle 77: Loss=1.4248, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.033, Size_Acc2=0.568, Content_Acc2=0.040, SizeErr1=4.0, SizeErr2=0.0
Cycle 78: Loss=1.4411, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.033, Size_Acc2=0.568, Content_Acc2=0.038, SizeErr1=2.0, SizeErr2=2.0
Cycle 79: Loss=1.4677, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.568, Content_Acc2=0.036, SizeErr1=2.0, SizeErr2=2.0
Cycle 80: Loss=1.4875, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.552, Content_Acc2=0.036, SizeErr1=2.0, SizeErr2=2.0
Cycle 81: Loss=1.4962, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.027, Size_Acc2=0.552, Content_Acc2=0.038, SizeErr1=2.0, SizeErr2=2.0
Cycle 82: Loss=1.4815, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.029, Size_Acc2=0.552, Content_Acc2=0.040, SizeErr1=4.0, SizeErr2=2.0
Cycle 83: Loss=1.4612, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.027, Size_Acc2=0.568, Content_Acc2=0.040, SizeErr1=2.0, SizeErr2=2.0
Cycle 84: Loss=1.2816, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.027, Size_Acc2=0.584, Content_Acc2=0.038, SizeErr1=4.0, SizeErr2=0.0
Cycle 85: Loss=1.4511, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.029, Size_Acc2=0.584, Content_Acc2=0.036, SizeErr1=2.0, SizeErr2=2.0
Cycle 86: Loss=1.3714, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.600, Content_Acc2=0.033, SizeErr1=0.0, SizeErr2=2.0
Cycle 87: Loss=1.4492, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.600, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 88: Loss=1.4486, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.600, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 89: Loss=1.4481, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.616, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 90: Loss=1.4078, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.648, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=0.0
Cycle 91: Loss=1.4719, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.033, Size_Acc2=0.648, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 92: Loss=1.5610, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.033, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=4.0
Cycle 93: Loss=1.5564, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.033, Size_Acc2=0.616, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=2.0
Cycle 94: Loss=1.4044, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.632, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=0.0
Cycle 95: Loss=1.4523, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.031, Size_Acc2=0.632, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=2.0
Cycle 96: Loss=1.7251, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.031, Size_Acc2=0.648, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=2.0
Cycle 97: Loss=1.5184, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.029, Size_Acc2=0.648, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 98: Loss=1.6430, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.504, Content_Acc1=0.029, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=4.0, SizeErr2=4.0
Cycle 99: Loss=1.4072, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.504, Content_Acc1=0.029, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 100: Loss=1.3850, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.488, Content_Acc1=0.031, Size_Acc2=0.648, Content_Acc2=0.024, SizeErr1=4.0, SizeErr2=0.0
Cycle 101: Loss=1.4455, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.504, Content_Acc1=0.029, Size_Acc2=0.632, Content_Acc2=0.024, SizeErr1=0.0, SizeErr2=4.0
Cycle 102: Loss=1.1852, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.027, Size_Acc2=0.616, Content_Acc2=0.027, SizeErr1=0.0, SizeErr2=2.0
Cycle 103: Loss=1.4156, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.027, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=0.0
Cycle 104: Loss=1.9106, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.029, Size_Acc2=0.648, Content_Acc2=0.027, SizeErr1=4.0, SizeErr2=0.0
Cycle 105: Loss=1.6341, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.029, Size_Acc2=0.648, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 106: Loss=1.6091, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.029, Size_Acc2=0.648, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 107: Loss=1.5902, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.029, Size_Acc2=0.648, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 108: Loss=1.5291, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.648, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 109: Loss=1.4918, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=4.0, SizeErr2=2.0
Cycle 110: Loss=1.5050, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.031, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 111: Loss=1.4804, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.504, Content_Acc1=0.033, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=4.0, SizeErr2=2.0
Cycle 112: Loss=1.4478, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.504, Content_Acc1=0.033, Size_Acc2=0.632, Content_Acc2=0.027, SizeErr1=2.0, SizeErr2=2.0
Cycle 113: Loss=1.3414, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.033, Size_Acc2=0.632, Content_Acc2=0.024, SizeErr1=0.0, SizeErr2=2.0
Cycle 114: Loss=1.4577, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.036, Size_Acc2=0.632, Content_Acc2=0.022, SizeErr1=2.0, SizeErr2=2.0
Cycle 115: Loss=1.4570, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.036, Size_Acc2=0.616, Content_Acc2=0.022, SizeErr1=2.0, SizeErr2=2.0
Cycle 116: Loss=1.5777, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.033, Size_Acc2=0.600, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=4.0
Cycle 117: Loss=1.5172, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.031, Size_Acc2=0.616, Content_Acc2=0.024, SizeErr1=2.0, SizeErr2=2.0
Cycle 118: Loss=1.7620, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.031, Size_Acc2=0.616, Content_Acc2=0.024, SizeErr1=4.0, SizeErr2=2.0
Cycle 119: Loss=1.6291, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.504, Content_Acc1=0.033, Size_Acc2=0.600, Content_Acc2=0.027, SizeErr1=4.0, SizeErr2=2.0
Cycle 120: Loss=1.4152, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.520, Content_Acc1=0.033, Size_Acc2=0.600, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 121: Loss=1.4047, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.033, Size_Acc2=0.600, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 122: Loss=1.4794, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.036, Size_Acc2=0.600, Content_Acc2=0.031, SizeErr1=2.0, SizeErr2=2.0
Cycle 123: Loss=1.4847, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.036, Size_Acc2=0.616, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 124: Loss=1.8012, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.536, Content_Acc1=0.038, Size_Acc2=0.600, Content_Acc2=0.029, SizeErr1=4.0, SizeErr2=4.0
Cycle 125: Loss=1.4850, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.036, Size_Acc2=0.584, Content_Acc2=0.029, SizeErr1=2.0, SizeErr2=2.0
Cycle 126: Loss=1.3693, Mode=joint, Vocab=2, SeqLen=1, Size_Acc1=0.552, Content_Acc1=0.036, Size_Acc2=0.600, Content_Acc2=0.029, SizeErr1=0.0, SizeErr2=2.0
